TIME    	TRYING	CONNECTED
1141096577 	10.93	10.93
1141096608 	5.9	5.9 # interval length 31 seconds
1141096668 	0	0 # interval length 60 seconds
1141096698 	10.96	10.96
1141096730 	5.71	5.71 # interval length 32 seconds
1141096789 	0	0 # interval length 59 seconds
1141096819 	10.83	10.83
1141096851 	5.87	5.87 # interval length 32 seconds
1141096911 	0	0 # interval length 60 seconds
1141096941 	10.8	10.8
1141096974 	5.69	5.69 # interval length 33 seconds
1141097033 	0	0 # interval length 59 seconds
1141097063 	11.03	11.03
1141097095 	5.65	5.65 # interval length 32 seconds
1141097155 	0	0 # interval length 60 seconds
1141097185 	10.9	10.9
1141097216 	5.93	5.93 # interval length 31 seconds
1141097275 	0	0 # interval length 59 seconds
1141097305 	10.6	10.6
1141097338 	5.84	5.84 # interval length 33 seconds
1141097397 	0	0 # interval length 59 seconds
1141097427 	7.3	7.3
1141097469 	6.95	6.95 # interval length 42 seconds
1141097518 	0	0 # interval length 49 seconds
1141097548 	10.8	10.8
1141097580 	5.87	5.87 # interval length 32 seconds
1141097641 	0	0 # interval length 61 seconds
1141097671 	11	11
1141097702 	5.87	5.87 # interval length 31 seconds
1141097762 	0	0 # interval length 60 seconds
1141097792 	11.13	11.13
1141097823 	5.74	5.74 # interval length 31 seconds
1141097883 	0	0 # interval length 60 seconds
1141097913 	10.76	10.76
1141097945 	5.87	5.87 # interval length 32 seconds
1141098004 	0	0 # interval length 59 seconds
1141098034 	10.86	10.86
1141098066 	5.78	5.78 # interval length 32 seconds
1141098125 	0	0 # interval length 59 seconds
1141098155 	10.93	10.93
1141098186 	5.9	5.9 # interval length 31 seconds
1141098247 	0	0 # interval length 61 seconds
1141098277 	10.8	10.8
1141098309 	5.84	5.84 # interval length 32 seconds
1141098371 	0	0 # interval length 62 seconds
1141098401 	10.86	10.86
1141098433 	5.78	5.78 # interval length 32 seconds
1141098492 	0	0 # interval length 59 seconds
1141098522 	10.8	10.8
1141098554 	5.84	5.84 # interval length 32 seconds
1141098614 	0	0 # interval length 60 seconds
1141098644 	10.76	10.76
1141098676 	5.87	5.87 # interval length 32 seconds
1141098734 	0	0 # interval length 58 seconds
1141098764 	10.73	10.73
1141098796 	5.9	5.9 # interval length 32 seconds
1141098856 	0	0 # interval length 60 seconds
1141098886 	11.03	11.03
1141098917 	5.8	5.8 # interval length 31 seconds
1141098976 	0	0 # interval length 59 seconds
1141099006 	10.56	10.56
1141099039 	5.87	5.87 # interval length 33 seconds
1141099097 	0	0 # interval length 58 seconds
1141099127 	10.7	10.7
1141099159 	5.96	5.96 # interval length 32 seconds
1141099219 	0	0 # interval length 60 seconds
1141099249 	10.86	10.86
1141099281 	5.78	5.78 # interval length 32 seconds
1141099340 	0	0 # interval length 59 seconds
1141099370 	10.93	10.93
1141099402 	5.75	5.75 # interval length 32 seconds
1141099461 	0	0 # interval length 59 seconds
1141099491 	10.3	10.3
